Process,Metric,Timestamp,TimestampRaw,Value
Global,% Shaders Busy,7313870,1570464597615005,93.8256068387314
Global,% Shaders Busy,7377275,1570464597678410,93.8124935822769
Global,% Shaders Busy,7441509,1570464597742644,93.8986097726752
Global,% Shaders Busy,7492008,1570464597793143,94.025420425912
Global,% Shaders Busy,7550319,1570464597851454,93.9089650441384
Global,% Shaders Busy,7600757,1570464597901892,94.0032678567129
Global,% Shaders Busy,7651442,1570464597952577,93.9255460348484
Global,% Shaders Busy,7702239,1570464598003374,94.0491541124965
Global,% Shaders Busy,7754540,1570464598055675,93.934386818092
Global,% Shaders Busy,7804772,1570464598105907,93.9718477342247
Global,% Shaders Busy,7861828,1570464598162963,93.9757262670727
Global,% Shaders Busy,7912153,1570464598213288,94.0506204700694
Global,% Shaders Busy,7970275,1570464598271410,93.988349095811
Global,% Shaders Busy,8027663,1570464598328798,93.6432375473759
Global,% Shaders Busy,8096233,1570464598397368,93.9890912183257
Global,% Shaders Busy,8235897,1570464598537032,93.625855701025
Global,% Shaders Busy,8300998,1570464598602133,93.682015970727
Global,% Shaders Busy,8371443,1570464598672578,93.8918831749091
Global,% Shaders Busy,8454550,1570464598755685,93.8610884901104
Global,% Shaders Busy,8572456,1570464598873591,93.8859310226309
Global,% Shaders Busy,8623208,1570464598924343,93.8912437287177
Global,% Shaders Busy,8699945,1570464599001080,93.8194899266207
Global,% Shaders Busy,8750588,1570464599051723,94.001724695374
Global,% Shaders Busy,8810183,1570464599111318,93.9656223444398
Global,% Shaders Busy,8869275,1570464599170410,93.8624579572258
Global,% Shaders Busy,8919809,1570464599220944,93.9691886653251
Global,% Shaders Busy,8970098,1570464599271233,93.6591320705293
Global,% Shaders Busy,9020671,1570464599321806,94.0721438944873
Global,% Shaders Busy,9077308,1570464599378443,93.9311644466842
Global,% Shaders Busy,9128189,1570464599429324,94.0296261565383
Global,% Shaders Busy,9183667,1570464599484802,93.869397262222
Global,% Shaders Busy,9250228,1570464599551363,93.94242024498
Global,% Shaders Busy,9305242,1570464599606377,93.7784848070213
Global,% Shaders Busy,9374215,1570464599675350,94.0371991765628
Global,% Shaders Busy,9433013,1570464599734148,93.8236956912359
Global,% Shaders Busy,9483409,1570464599784544,93.9514970547859
Global,% Shaders Busy,9557738,1570464599858873,93.8153113719467
